"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S1";"PTS526SK15SMTR2LFS";1;"PTS526_SK15_SMTR2_LFS";;;
2;"H2,H1";"MountingHole_2.2mm_M2";2;"MountingHole";;;
3;"Z1";"SODFL4724X108N";1;"SZMMSZ4713T1G";;;
4;"J6,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"5V_PWR";;;
5;"U1";"TB67H420FTG_EL";1;"TB67H420FTG_EL";;;
6;"R12,R11";"R_0402_1005Metric";2;"10k";;;
7;"R10";"R_0402_1005Metric";1;"5k";;;
8;"R9,R7,R6";"RESC6430X66N";3;".01";;;
9;"R8";"R_0402_1005Metric";1;"20k";;;
10;"R5,R4,R3,R1";"R_0402_1005Metric";4;"5.1k";;;
11;"R2";"R_0402_1005Metric";1;"100k";;;
12;"L1";"XAL6060333MEC";1;"33uH";;;
13;"J5";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";1;"PWR_IN";;;
14;"J4";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";1;"M2";;;
15;"J3";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";1;"M1";;;
16;"J1";"GCT_USB4105-GF-A";1;"USBc";;;
17;"IC4";"QFP80P900X900X120-32N";1;"ATSAMD21E17D-AUT";;;
18;"IC3";"AP1501A50K5G13";1;"5V_Reg";;;
19;"IC2";"SOIC127P600X170-8N";1;"3.3V Reg";;;
20;"IC1";"SOIC127P600X175-8N";1;"EEPROM";;;
21;"D2";"DIOM5226X240N";1;"B340AE-13";;;
22;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
23;"C13,C9,C8,C1";"CAPC0603X33N";4;".1uF";;;
24;"C12";"C_0402_1005Metric";1;"270pF";;;
25;"C11";"CAPAE660X800N";1;"100uF";;;
26;"C10";"CAPC2012X110N";1;".1uF";;;
27;"C7,C4";"CAPC1005X55N";2;"1uF";;;
28;"C6,C5,C2";"C1608_Commercial";3;"10uF";;;
29;"C3";"CAPC3216X180N";1;"10uF";;;
